Player Name,Format,Image,Year,Innings,Runs,Balls,Outs,Avg,SR,HS,50,100,4s,6s,Dot %
AB De Villiers,Test,https://i.pinimg.com/originals/98/21/63/982163ab1da1d67694fea4cd2a979d96.jpg,2004,4,108,184,3,36,58.7,52,1,0,17,0,76.1
AB De Villiers,Test,https://i.pinimg.com/originals/98/21/63/982163ab1da1d67694fea4cd2a979d96.jpg,2005,19,"1,008","1,884",19,53.1,53.5,178,5,3,134,4,75.5
AB De Villiers,Test,https://i.pinimg.com/originals/98/21/63/982163ab1da1d67694fea4cd2a979d96.jpg,2006,21,570,"1,105",21,27.1,51.6,97,4,0,80,0,74.3
AB De Villiers,Test,https://i.pinimg.com/originals/98/21/63/982163ab1da1d67694fea4cd2a979d96.jpg,2007,16,387,757,14,27.6,51.1,77,3,0,45,1,72.9
AB De Villiers,Test,https://i.pinimg.com/originals/98/21/63/982163ab1da1d67694fea4cd2a979d96.jpg,2008,22,"1,061","1,986",18,58.9,53.4,217,2,4,120,5,72
AB De Villiers,Test,https://i.pinimg.com/originals/98/21/63/982163ab1da1d67694fea4cd2a979d96.jpg,2009,11,572,"1,071",10,57.2,53.4,163,4,2,56,9,73.1
AB De Villiers,Test,https://i.pinimg.com/originals/98/21/63/982163ab1da1d67694fea4cd2a979d96.jpg,2010,18,996,"1,704",13,76.6,58.5,278,4,3,83,18,66.8
AB De Villiers,Test,https://i.pinimg.com/originals/98/21/63/982163ab1da1d67694fea4cd2a979d96.jpg,2011,8,377,727,8,47.1,51.9,99,4,0,48,2,72.6
AB De Villiers,Test,https://i.pinimg.com/originals/98/21/63/982163ab1da1d67694fea4cd2a979d96.jpg,2012,16,815,"1,440",14,58.2,56.6,169,2,2,98,6,72.8
AB De Villiers,Test,https://i.pinimg.com/originals/98/21/63/982163ab1da1d67694fea4cd2a979d96.jpg,2013,13,933,"1,597",12,77.8,58.4,164,5,4,102,2,67.7
AB De Villiers,Test,https://i.pinimg.com/originals/98/21/63/982163ab1da1d67694fea4cd2a979d96.jpg,2014,13,631,"1,340",13,48.5,47.1,152,2,2,76,5,75.9
AB De Villiers,Test,https://i.pinimg.com/originals/98/21/63/982163ab1da1d67694fea4cd2a979d96.jpg,2015,10,492,967,10,49.2,50.9,148,2,1,59,3,74.3
AB De Villiers,Test,https://i.pinimg.com/originals/98/21/63/982163ab1da1d67694fea4cd2a979d96.jpg,2016,5,124,260,5,24.8,47.7,88,1,0,16,2,78.1
AB De Villiers,Test,https://i.pinimg.com/originals/98/21/63/982163ab1da1d67694fea4cd2a979d96.jpg,2017,1,53,65,1,53,81.5,53,1,0,5,1,58.5
AB De Villiers,Test,https://i.pinimg.com/originals/98/21/63/982163ab1da1d67694fea4cd2a979d96.jpg,2018,14,638,990,12,53.2,64.4,126,6,1,86,6,69.3
AB De Villiers,ODI,https://i.pinimg.com/originals/98/21/63/982163ab1da1d67694fea4cd2a979d96.jpg,2005,14,221,331,14,15.8,66.8,39,0,0,29,4,71
AB De Villiers,ODI,https://i.pinimg.com/originals/98/21/63/982163ab1da1d67694fea4cd2a979d96.jpg,2006,12,466,549,11,42.4,84.9,92,3,0,49,7,53.2
AB De Villiers,ODI,https://i.pinimg.com/originals/98/21/63/982163ab1da1d67694fea4cd2a979d96.jpg,2007,32,"1,209","1,310",27,44.8,92.3,146,8,3,138,26,55.9
AB De Villiers,ODI,https://i.pinimg.com/originals/98/21/63/982163ab1da1d67694fea4cd2a979d96.jpg,2008,14,434,554,12,36.2,78.3,77,3,0,38,6,54
AB De Villiers,ODI,https://i.pinimg.com/originals/98/21/63/982163ab1da1d67694fea4cd2a979d96.jpg,2009,17,762,821,14,54.4,92.8,121,6,1,66,6,43
AB De Villiers,ODI,https://i.pinimg.com/originals/98/21/63/982163ab1da1d67694fea4cd2a979d96.jpg,2010,16,964,944,12,80.3,102.1,114,4,5,67,19,36.7
AB De Villiers,ODI,https://i.pinimg.com/originals/98/21/63/982163ab1da1d67694fea4cd2a979d96.jpg,2011,10,467,445,9,51.9,104.9,134,2,2,40,8,37.8
AB De Villiers,ODI,https://i.pinimg.com/originals/98/21/63/982163ab1da1d67694fea4cd2a979d96.jpg,2012,12,645,594,6,107.5,108.6,125,3,2,51,12,37
AB De Villiers,ODI,https://i.pinimg.com/originals/98/21/63/982163ab1da1d67694fea4cd2a979d96.jpg,2013,26,"1,163","1,198",23,50.6,97.1,128,7,3,94,21,41.4
AB De Villiers,ODI,https://i.pinimg.com/originals/98/21/63/982163ab1da1d67694fea4cd2a979d96.jpg,2014,16,879,768,12,73.2,114.5,136,6,2,80,14,35.3
AB De Villiers,ODI,https://i.pinimg.com/originals/98/21/63/982163ab1da1d67694fea4cd2a979d96.jpg,2015,18,"1,193",865,15,79.5,137.9,162,5,5,91,58,36.1
AB De Villiers,ODI,https://i.pinimg.com/originals/98/21/63/982163ab1da1d67694fea4cd2a979d96.jpg,2016,10,339,374,8,42.4,90.6,101,1,1,25,6,43
AB De Villiers,ODI,https://i.pinimg.com/originals/98/21/63/982163ab1da1d67694fea4cd2a979d96.jpg,2017,18,773,661,13,59.5,116.9,176,5,1,67,15,34.8
AB De Villiers,ODI,https://i.pinimg.com/originals/98/21/63/982163ab1da1d67694fea4cd2a979d96.jpg,2018,3,62,59,3,20.7,105.1,30,0,0,5,2,45.8
AB De Villiers,T20,https://i.pinimg.com/originals/98/21/63/982163ab1da1d67694fea4cd2a979d96.jpg,2006,1,6,4,1,6,150,6,0,0,0,1,75
AB De Villiers,T20,https://i.pinimg.com/originals/98/21/63/982163ab1da1d67694fea4cd2a979d96.jpg,2007,7,102,96,5,20.4,106.2,52,1,0,10,2,43.8
AB De Villiers,T20,https://i.pinimg.com/originals/98/21/63/982163ab1da1d67694fea4cd2a979d96.jpg,2008,2,61,48,2,30.5,127.1,36,0,0,6,1,33.3
AB De Villiers,T20,https://i.pinimg.com/originals/98/21/63/982163ab1da1d67694fea4cd2a979d96.jpg,2009,11,227,159,9,25.2,142.8,79,2,0,21,7,32.7
